"Census Profile, 2021 Census of Population",,,
,,,British Columbia [Province]
,,,Counts
Topic,Characteristic,Total,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,1195830,
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),19400,
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),30560,
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,100,
Income of individuals in 2020,  Market income (%),83.2,
Income of individuals in 2020,    Employment income (%),65.8,
Income of individuals in 2020,  Government transfers (%),16.8,
Income of individuals in 2020,    Employment insurance benefits (%),1.1,
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),5.6,
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),4.5,
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,4200500,
Income of individuals in 2020,  Without total income,124155,
Income of individuals in 2020,  With total income,4076350,
Income of individuals in 2020,"    Under $10,000 (including loss)",385230,
Income of individuals in 2020,"    $10,000 to $19,999",474245,
Income of individuals in 2020,"    $20,000 to $29,999",627895,
Income of individuals in 2020,"    $30,000 to $39,999",515780,
Income of individuals in 2020,"    $40,000 to $49,999",442130,
Income of individuals in 2020,"    $50,000 to $59,999",363335,
Income of individuals in 2020,"    $60,000 to $69,999",284130,
Income of individuals in 2020,"    $70,000 to $79,999",221755,
Income of individuals in 2020,"    $80,000 to $89,999",172110,
Income of individuals in 2020,"    $90,000 to $99,999",136185,
Income of individuals in 2020,"    $100,000 and over",453550,
Income of individuals in 2020,"      $100,000 to $149,999",297440,
Income of individuals in 2020,"      $150,000 and over",156105,
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,4200500,
Income of individuals in 2020,  Without after-tax income,121690,
Income of individuals in 2020,  With after-tax income,4078810,
Income of individuals in 2020,"    Under $10,000 (including loss)",402375,
Income of individuals in 2020,"    $10,000 to $19,999",490875,
Income of individuals in 2020,"    $20,000 to $29,999",705795,
Income of individuals in 2020,"    $30,000 to $39,999",593485,
Income of individuals in 2020,"    $40,000 to $49,999",502775,
Income of individuals in 2020,"    $50,000 to $59,999",387850,
Income of individuals in 2020,"    $60,000 to $69,999",283825,
Income of individuals in 2020,"    $70,000 to $79,999",207535,
Income of individuals in 2020,"    $80,000 to $89,999",150155,
Income of individuals in 2020,"    $90,000 to $99,999",99015,
Income of individuals in 2020,"    $100,000 and over",255125,
Income of individuals in 2020,"      $100,000 to $124,999",127025,
